PolicyNumber,Premium,SumAssured,EscalationRate,EscalationCode,IssueAge,CurrentAge,BenefitEndAge,Gender,SmokerStatus,LivesType,PremiumEscalation,PremiumType,ContractType,BenefitType,ProductType,PolicyStatus,Duration,Commission,SubstandardPremium,STC,Currency
POL00001,1465.94,480375,0.046,B,57,25,80,Female,Smoker,Joint,Yes,Level,Long Term,Main,Whole Life,Continuing,8,0.134,89.3,Special,EUR
POL00002,2983.96,144860,0.015,C,48,56,66,,Smoker,,Yes,Increasing,Short Term,Main,Endowment,New,17,0.138,69.07,Special,GBP
POL00003,1225.93,89133,0.002,B,53,43,78,Unknown,Smoker,Single,Yes,Level,Short Term,Rider,Term,New,7,0.067,307.12,Standard,GBP
POL00004,3506.28,123084,0.018,,45,43,65,Female,Smoker,,No,Mixed,Undefined,,Endowment,Unknown,7,0.137,21.47,Special,EUR
POL00005,4844.42,65814,0.028,C,27,26,78,Male,Non-Smoker,Single,No,Increasing,Short Term,,Other,Terminated,5,0.075,67.12,Special,GBP
POL00006,2941.12,396628,0.033,A,39,39,67,,Non-Smoker,Single,,Increasing,Undefined,Main,Endowment,Terminated,4,0.147,203.93,Special,EUR
POL00007,2076.53,445886,0.003,A,28,49,61,,Unknown,Single,Yes,Mixed,Undefined,,Endowment,Terminated,20,0.136,310.38,Standard,EUR
POL00008,4268.52,270957,0.027,C,49,48,63,Other,Unknown,Joint,,Level,Short Term,Main,Term,Terminated,30,0.106,119.37,Special,USD
POL00009,2040.3,181626,0.04,,33,46,74,Unknown,Non-Smoker,Single,Yes,Increasing,Long Term,Main,Endowment,Terminated,1,0.051,459.78,Error,INR
POL00010,4467.2,50767,0.024,D,41,33,63,Male,Non-Smoker,,No,Mixed,Long Term,Main,Endowment,Terminated,12,0.07,72.23,Special,INR
POL00011,2409.3,325835,0.018,C,,23,80,Male,Non-Smoker,,Yes,Level,Undefined,Rider,Endowment,Unknown,22,0.065,60.85,Special,USD
POL00012,1052.63,74111,0.037,C,26,34,69,Other,Unknown,Single,,Mixed,Undefined,,ULIP,New,27,0.102,85.18,Error,EUR
POL00013,3372.34,188274,0.03,C,52,44,62,Male,Unknown,Single,,Increasing,Long Term,Main,Whole Life,Unknown,26,1.48,23.24,Special,USD
POL00014,4777.8,418864,0.038,B,21,34,72,Male,Smoker,Single,No,Mixed,Short Term,Main,Whole Life,New,1,0.096,127.34,Error,INR
POL00015,1934.4,188765,0.015,C,60,33,,Female,Unknown,,,Increasing,Long Term,Main,Other,New,3,0.125,218.55,Special,INR
POL00016,1866.31,274074,0.015,C,46,50,76,Male,Non-Smoker,Single,Yes,Increasing,Short Term,Main,Other,Terminated,24,0.145,467.24,Standard,EUR
POL00017,1552.78,319619,0.028,B,45,59,63,Female,Unknown,Joint,No,Increasing,Undefined,Main,Other,Continuing,7,0.111,275.25,Standard,GBP
POL00018,1052.69,473557,0.008,,21,63,61,Unknown,Smoker,Single,,Mixed,Short Term,Rider,Endowment,Unknown,8,0.085,163.47,Special,INR
POL00019,4220.75,125342,0.047,B,24,60,60,Other,Non-Smoker,,No,Level,Short Term,Rider,Term,Terminated,20,0.123,373.63,Standard,EUR
POL00020,4608.96,170654,0.018,A,55,25,67,Male,Unknown,Joint,No,Increasing,Short Term,,Endowment,Terminated,18,0.138,395.26,Error,GBP
POL00021,2010.16,405827,0.039,D,26,45,70,Female,Smoker,,,Increasing,Short Term,,ULIP,Unknown,24,0.067,238.5,Error,GBP
POL00022,2826.64,479900,0.013,A,55,62,63,Female,Unknown,Joint,No,Level,Long Term,Main,Other,Terminated,-1,0.127,59.82,Special,GBP
POL00023,3571.05,75496,0.003,B,57,40,70,Other,Unknown,Single,Yes,Mixed,Undefined,,Other,New,27,0.071,1.78,Error,GBP
POL00024,4671.97,265699,0.008,B,41,47,61,Male,Unknown,Single,,Mixed,Long Term,Rider,Endowment,Continuing,15,0.056,158.08,Standard,EUR
POL00025,4937.13,452086,0.024,A,53,24,78,Other,Unknown,Single,No,Level,Short Term,Main,Whole Life,Continuing,14,0.052,20.59,Standard,EUR
POL00026,2443.94,84781,0.022,D,56,23,67,Male,Unknown,Joint,Yes,Mixed,Undefined,,Other,Unknown,24,0.137,448.25,Special,EUR
POL00027,3351.02,387892,0.037,D,32,25,60,Other,Smoker,Joint,,Level,Short Term,Main,ULIP,New,1,0.059,194.78,Standard,INR
POL00028,4375.63,207912,0.019,B,28,31,60,Female,Unknown,Single,No,Increasing,Long Term,Main,Whole Life,New,9,0.08,225.2,Error,INR
POL00029,4472.42,370705,0.049,A,48,39,74,Male,Non-Smoker,Single,Yes,Level,Short Term,Main,Other,Unknown,9,0.077,405.15,Standard,USD
POL00030,1158.45,172857,0.03,D,41,55,71,Unknown,Unknown,Joint,No,Increasing,Short Term,Rider,ULIP,Unknown,24,0.083,112.83,Special,GBP
POL00031,1997.51,114411,0.008,A,35,38,62,Male,Smoker,,,Mixed,Short Term,Rider,Other,Unknown,21,0.122,391.98,Error,INR
POL00032,3844.95,66538,0.033,B,27,52,72,Female,Unknown,Single,,Increasing,Long Term,Main,Endowment,Unknown,18,0.068,192.66,Error,EUR
POL00033,2556.18,130314,0.042,C,55,46,60,,Smoker,Single,No,Increasing,Long Term,Rider,Endowment,Unknown,20,0.121,47.36,Standard,USD
POL00034,1467.17,257079,0.048,C,47,43,72,Female,Unknown,,,Mixed,Short Term,,Endowment,New,-1,0.138,145.43,Standard,USD
POL00035,1426.6,133807,0.024,B,28,41,72,,Unknown,Joint,,Mixed,Undefined,Main,Whole Life,Unknown,15,0.09,135.83,Standard,INR
POL00036,4322.48,468416,0.049,A,21,21,61,Other,Smoker,Joint,No,Mixed,Short Term,,Other,Unknown,15,0.12,311.55,Standard,USD
POL00037,3583.82,186390,0.049,C,37,47,69,Male,Non-Smoker,,,Level,Long Term,Rider,Whole Life,New,7,0.072,259.64,Error,USD
POL00038,2724.43,349090,0.04,,54,25,73,Unknown,Non-Smoker,Joint,,Mixed,Long Term,Main,ULIP,Terminated,13,0.145,185.91,Error,INR
POL00039,1135.11,100771,0.027,B,31,54,70,Other,Smoker,Joint,No,Level,Short Term,Rider,ULIP,Unknown,12,0.071,203.29,Standard,GBP
POL00040,3869.77,219820,0.044,B,22,24,80,Male,Smoker,Single,Yes,Increasing,Long Term,,Whole Life,Terminated,10,0.094,294.64,Standard,INR
POL00041,4273.21,116409,0.024,,29,32,75,Male,Smoker,Joint,,Increasing,Long Term,Main,ULIP,Unknown,12,0.104,447.56,Standard,USD
POL00042,3141.59,197918,0.01,D,57,32,62,Unknown,Unknown,Joint,No,Mixed,Short Term,Rider,Whole Life,Terminated,6,0.085,100.93,Standard,INR
