alp_cov_no,Insurer,Brand,Policy_no,Product_code,Policy_StartDate,Business_Class,Policy_Issued,Identity_no,Plan_Type,Relationship,DateofBirth,Sex,Smoker,Policy_Status,Risk_Status,Risk_Sequence,Risk_Type,Risk_StartDate,Risk_StatusDate,Loading_Net,PremiumLoad_Dollar,PremiumLoad_Duration,Customer_discount,SumInsured,SumReinsured,AnnualPremium,PremiumFrequency,FrequencyPremium,PaymentMethod,ClaimIndicator,AgeAtEntry,OccupationCode,Exclusion_Indicator,StaffDiscount,CPI_Flag,Termination_Date,Termination_Code,Policy_Count,Sort_Seq,AsAtDate,Id_Count,JointLife,Premium_PercentCode,MPL_commission,Waiting_period,Benefit_period,CommissionSplitVersion,Policy_AcceptanceDate,dtmOriginalBenefitStart,Validation_Key,Calculated_Age
6125948-DTH,ABC ltd,Y,410359051,MTL,1/13/2012,O,Y,6125948,S,MAIN,10/26/1960,M,N,1,1,1,DTH,1/13/2025,12/13/2025,150,0,0,0.1,1885649,"1,885,649","66,770",M,5564.17,CC,,51,,N,,Y,,,1,10,12/31/2025,1,N,MTL_DTH_1,1112.83,0,0,1,1/6/2012,1/13/2012,6125948-DTH,51.21
3187663-DTH,ABC ltd,Y,410005186,MTL,11/11/2008,O,Y,3187663,S,MAIN,1/15/1982,F,N,1,1,1,DTH,11/11/2025,12/30/2025,0,0,0,0.1,3438021,"3,438,021","3,156",F,121.39,DD,,26,,N,,Y,,,1,10,12/31/2025,1,N,MTL_DTH_1,24.28,0,0,1,11/11/2008,11/11/2008,3187663-DTH,26.82
7718395-TPD,ABC ltd,Y,410517800,MTL,4/23/2013,O,Y,7718395,S,MAIN,11/21/1961,M,N,1,1,1,TPD,4/23/2025,3/27/2023,0,0,0,0.1,1346895,"1,346,895","24,732",M,2060.98,,,51,A,Y,,Y,,,,10,12/31/2025,,N,MTL_TPD_1,412.2,0,0,1,4/23/2013,4/23/2013,7718395-TPD,51.42
4803279-TRA,ABC ltd,Y,410231587,MTL,8/6/2010,O,Y,4803279,S,MAIN,10/15/1966,M,N,6,1,1,TRA,8/6/2025,9/25/2025,0,0,0,0.1,519732,"519,732","20,242",F,778.52,,Y,43,,N,,Y,,,,10,12/31/2025,,N,MTL_TRA_1,155.7,0,0,1,8/5/2010,8/6/2010,4803279-TRA,43.81
3680067-ADB,ABC ltd,Y,410114960,MAP,9/1/2009,O,Y,3680067,S,MAIN,6/7/1970,F,N,1,1,1,ADB,9/1/2025,1/1/2026,0,0,0,0.1,3274310,"3,274,310","3,899",M,324.89,DD,,39,,N,,Y,,,1,10,12/31/2025,1,N,MAP_F_1,64.98,0,0,1,9/1/2009,9/1/2009,3680067-ADB,39.24
6178577-TPD,ABC ltd,Z,480357470,WLI,12/30/2011,O,Y,6178577,S,MAIN,9/9/1972,M,N,1,1,1,TPD,12/30/2025,12/30/2019,0,0,0,0,1979931,"1,979,931","13,351",F,513.49,,,39,A,N,Y,Y,,,,10,12/31/2025,,N,WLI_TPD_1,102.7,0,0,,12/22/2011,12/30/2011,6178577-TPD,39.30
15168968-CCP,ABC ltd,Z,480617521,WLI,3/7/2014,O,Y,15168968,S,MAIN,1/4/2009,F,N,3,3,1,CCP,3/7/2014,4/11/2014,0,0,0,0,50000,"50,000",160,F,6.16,,,5,,N,N,Y,3/6/2014,P,,10,12/31/2025,1,N,WLI_CCP_0,1.23,0,0,,3/4/2014,3/7/2014,15168968-CCP,5.17
4457832-DTH,ABC ltd,Y,410191668,MTL,4/19/2010,O,Y,4457832,S,MAIN,8/23/1956,M,Y,1,1,1,DTH,4/19/2025,12/19/2025,0,0,0,0.1,1039460,"1,039,460","37,890",M,3157.53,DD,,53,,N,,Y,,,1,10,12/31/2025,1,N,MTL_DTH_1,631.51,0,0,1,4/19/2010,4/19/2010,4457832-DTH,53.65
4386776-DTH,ABC ltd,Y,410190172,MTL,4/19/2010,O,Y,4386776,S,MAIN,2/6/1958,M,N,1,1,1,DTH,4/19/2025,12/22/2025,50,0,0,0.1,2078928,"2,078,928","65,361",F,2513.88,CC,,52,,Y,,Y,,,1,10,12/31/2025,1,N,MTL_DTH_1,502.78,0,0,1,4/14/2010,4/19/2010,4386776-DTH,52.20
3537390-DTH,ABC ltd,Y,410086733,MTL,6/26/2009,O,Y,3537390,S,MAIN,7/31/1983,M,N,6,1,1,DTH,6/26/2025,12/29/2025,0,0,0,0.1,3274310,"3,274,310","3,448",M,287.31,CC,,25,,N,,Y,,,1,10,12/31/2025,1,N,MTL_DTH_1,57.46,0,0,1,6/26/2009,6/26/2009,3537390-DTH,25.91
