alp_cov_no,Insurer,Brand,Policy_no,Product_code,Policy_StartDate,Business_Class,Policy_Issued,Identity_no,Plan_Type,Relationship,DateofBirth,Sex,Smoker,Policy_Status,Risk_Status,Risk_Sequence,Risk_Type,Risk_StartDate,Risk_StatusDate,Loading_Net,PremiumLoad_Dollar,PremiumLoad_Duration,Customer_discount,SumInsured,SumReinsured,AnnualPremium,PremiumFrequency,FrequencyPremium,PaymentMethod,ClaimIndicator,AgeAtEntry,OccupationCode,Exclusion_Indicator,StaffDiscount,CPI_Flag,Termination_Date,Termination_Code,Policy_Count,Sort_Seq,AsAtDate,Id_Count,JointLife,Premium_PercentCode,MPL_commission,Waiting_period,Benefit_period,CommissionSplitVersion,Policy_AcceptanceDate,dtmOriginalBenefitStart,Validation_Key,Calculated_Age
20000001-TRA,ABC ltd,Y,510822938,MTL,3/3/2010,O,Y,20000001,S,MAIN,2/26/1956,F,N,6,1,1,TRA,3/3/2025,2/20/2026,0,0,0,0.1,1823833,"1,823,833","80,268",M,6705.85,DD,,54,,N,Y,Y,10/18/2025,C,1.0,10,12/31/2025,,N,MTL_TRA_1,1361.73,0,0,,2/21/2010,3/3/2010,20000001-TRA,54.23
20000002-DTH,ABC ltd,Z,510098129,WLI,12/21/2007,O,Y,20000002,S,MAIN,1/23/1961,M,N,1,1,1,DTH,12/21/2025,12/7/2026,0,0,0,0.1,1282607,"1,282,607","22,661",M,1868.54,DD,,47,,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,385.54,0,0,1.0,12/17/2007,12/21/2007,20000002-DTH,47.18
20000003-DTH,ABC ltd,Y,510459456,WLI,9/8/2011,O,Y,20000003,S,MAIN,7/3/1961,M,N,1,1,1,DTH,9/8/2025,3/3/2026,25,0,0,0.1,1196314,"1,196,314","16,169",M,1365.5,DD,,50,,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,246.57,0,0,1.0,9/8/2011,9/8/2011,20000003-DTH,50.1
20000004-DTH,ABC ltd,Y,510496129,MTL,7/22/2009,O,Y,20000004,S,MAIN,3/25/1973,F,N,1,1,1,DTH,7/22/2025,3/1/2026,0,0,0,0.0,1434028,"1,434,028","36,786",M,3007.67,DD,,36,,N,N,Y,,,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,514.63,0,0,1.0,7/16/2009,7/22/2009,20000004-DTH,36.16
20000005-CCP,ABC ltd,Y,510020504,WLI,10/27/2015,O,Y,20000005,S,MAIN,12/23/1978,M,N,1,1,1,CCP,10/27/2025,7/24/2026,0,0,0,0.1,2550429,"2,550,429","7,789",M,639.23,,,37,,N,N,Y,,,1.0,10,12/31/2025,1.0,N,WLI_CCP_0,115.22,0,0,1.0,10/16/2015,10/27/2015,20000005-CCP,37.13
20000006-DTH,ABC ltd,Y,510588056,WLI,2/19/2012,O,Y,20000006,S,MAIN,5/25/1960,M,N,1,1,1,DTH,2/19/2025,3/5/2025,150,0,0,0.1,1195739,"1,195,739","33,064",F,1268.31,CC,,52,,N,N,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,273.51,0,0,1.0,2/5/2012,2/19/2012,20000006-DTH,52.52
20000007-DTH,ABC ltd,Z,510547255,MTL,7/4/2007,O,Y,20000007,S,MAIN,8/21/1963,M,N,1,1,1,DTH,7/4/2025,12/26/2025,0,0,0,0.1,676754,"676,754","15,633",M,1319.65,CC,,44,,N,Y,Y,,,1.0,10,12/31/2025,,N,MTL_DTH_1,272.61,0,0,1.0,6/29/2007,7/4/2007,20000007-DTH,44.51
20000008-DTH,ABC ltd,Z,510891784,WLI,6/27/2009,O,Y,20000008,S,MAIN,3/1/1973,F,N,1,1,1,DTH,6/27/2025,7/1/2025,0,0,0,0.1,18500000,"18,500,000","412,500",F,34375.0,DD,,36,,N,,Y,,,1.0,10,12/31/2025,,N,WLI_DTH_1,707.16,0,0,1.0,6/16/2009,6/27/2009,20000008-DTH,36.59
20000009-ADB,ABC ltd,Y,510501239,MAP,10/9/2015,O,Y,20000009,S,MAIN,6/18/1985,M,N,1,1,1,ADB,10/9/2025,3/10/2026,0,0,0,0.1,1553848,"1,553,848","2,447",M,201.18,CC,,30,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MAP_F_1,40.58,0,0,,10/8/2015,10/9/2015,20000009-ADB,30.32
20000010-TPD,ABC ltd,Z,510933089,MTL,12/25/2012,O,Y,20000010,S,MAIN,12/27/1973,F,Y,6,1,1,TPD,12/25/2025,11/5/2025,25,0,0,0.1,1942549,"1,942,549","30,474",M,2506.53,DD,,39,A,N,Y,Y,2/17/2025,P,1.0,10,12/31/2025,1.0,N,MTL_TPD_1,416.8,0,0,1.0,12/14/2012,12/25/2012,20000010-TPD,39.42
20000011-DTH,ABC ltd,Y,510598960,WLI,4/13/2010,O,Y,20000011,S,MAIN,4/7/1991,F,N,1,1,1,DTH,4/13/2025,5/28/2025,0,0,0,0.1,837399,"837,399","20,456",F,775.18,DD,,19,,N,N,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,124.61,0,0,1.0,4/11/2010,4/13/2010,20000011-DTH,19.21
20000012-DTH,ABC ltd,Z,510875129,MTL,4/27/2014,O,Y,20000012,S,MAIN,4/26/1970,F,N,1,1,1,DTH,4/27/2025,1/4/2026,0,0,0,0.0,1143131,"1,143,131","13,468",M,1113.17,DD,,44,,N,,Y,,,,10,12/31/2025,1.0,N,MTL_DTH_1,171.02,0,0,1.0,4/15/2014,4/27/2014,20000012-DTH,44.93
20000013-ADB,ABC ltd,Y,510536531,MAP,10/20/2012,O,Y,20000013,S,MAIN,1/17/1971,F,N,1,1,1,ADB,10/20/2025,8/7/2026,0,0,0,0.1,1848801,"1,848,801","6,842",M,569.74,CC,,42,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MAP_F_1,98.52,0,0,1.0,10/9/2012,10/20/2012,20000013-ADB,42.87
20000014-TPD,ABC ltd,Y,510523703,WLI,6/18/2009,O,Y,20000014,S,MAIN,8/29/1945,F,N,1,1,1,TPD,6/18/2025,3/26/2026,50,0,0,0.0,1444140,"1,444,140","22,636",M,1917.92,DD,,64,,N,N,Y,,,1.0,10,12/31/2025,1.0,N,WLI_TPD_1,416.42,0,0,1.0,6/4/2009,6/18/2009,20000014-TPD,64.77
20000015-CCP,ABC ltd,Y,510721503,WLI,7/17/2009,O,Y,20000015,S,MAIN,10/5/1976,M,N,1,1,1,CCP,7/17/2025,7/29/2025,0,0,0,0.1,3209290,"3,209,290","10,939",M,917.17,CC,,33,,Y,N,Y,,,1.0,10,12/31/2025,1.0,N,WLI_CCP_0,164.45,0,0,1.0,7/16/2009,7/17/2009,20000015-CCP,33.86
20000016-TRA,ABC ltd,Z,510479889,MTL,4/5/2009,O,Y,20000016,S,MAIN,12/16/1968,F,N,6,1,1,TRA,4/5/2025,4/7/2025,0,0,0,0.1,2946245,"2,946,245","97,355",M,8246.65,CC,,40,,N,,Y,5/22/2025,C,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,1604.76,0,0,1.0,3/28/2009,4/5/2009,20000016-TRA,40.46
20000017-ADB,ABC ltd,Y,510863579,MAP,6/1/2009,O,Y,20000017,S,MAIN,7/19/1988,M,N,3,1,1,ADB,6/1/2025,11/7/2025,150,0,0,0.1,1978975,"1,978,975","3,599",F,141.74,DD,,21,,N,N,Y,12/2/2025,P,1.0,10,12/31/2025,1.0,N,MAP_F_1,22.68,0,0,,6/1/2009,6/1/2009,20000017-ADB,21.64
20000018-DTH,ABC ltd,Y,510086938,MTL,10/27/2015,O,Y,20000018,S,MAIN,12/29/1999,M,N,3,1,1,DTH,10/27/2025,12/28/2025,0,0,0,0.0,1170677,"1,170,677","29,755",F,1165.72,CC,,16,,N,,Y,11/13/2025,P,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,234.8,0,0,1.0,10/15/2015,10/27/2015,20000018-DTH,16.93
20000019-TPD,ABC ltd,Y,510173954,WLI,11/13/2008,O,Y,20000019,S,MAIN,4/12/2022,M,N,1,1,1,TPD,11/13/2025,3/7/2026,0,0,0,0.0,750000,"750,000","12,203",F,470.72,CC,,3,,Y,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_TPD_1,101.6,0,0,1.0,10/31/2008,11/13/2008,20000019-TPD,3.42
20000020-DTH,ABC ltd,Y,510590124,MTL,10/17/2009,O,Y,20000020,S,MAIN,11/11/1978,F,N,1,1,1,DTH,10/17/2025,5/14/2026,0,0,0,0.1,2020364,"2,020,364","37,090",M,3119.93,DD,,31,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,610.48,0,0,1.0,10/7/2009,10/17/2009,20000020-DTH,31.44
20000021-TPD,ABC ltd,Y,510504128,WLI,11/4/2012,O,Y,20000021,S,MAIN,7/26/1952,M,N,1,1,1,TPD,11/4/2025,9/1/2026,0,0,0,0.1,1547907,"1,547,907","27,519",M,2343.4,CC,,60,,N,,Y,,,1.0,10,12/31/2025,,N,WLI_TPD_1,473.34,0,0,1.0,10/29/2012,11/4/2012,20000021-TPD,60.19
20000022-TPD,ABC ltd,Z,510958053,MTL,1/27/2008,O,Y,20000022,S,MAIN,2/9/1974,F,N,1,1,1,TPD,1/27/2025,10/22/2025,0,0,0,0.1,1249649,"1,249,649","20,449",F,786.02,CC,,34,,N,N,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TPD_1,172.39,0,0,1.0,1/19/2008,1/27/2008,20000022-TPD,34.12
